原始模型
time cost: 0.014249932765960694
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         3.34%      36.448ms        59.75%     651.044ms     500.803us       6.474ms         0.37%        1.290s     992.258us           0 b           0 b       5.12 Gb           0 b          1300      3069.326  
                aten::convolution         2.18%      23.742ms        56.40%     614.596ms     472.766us       9.965ms         0.58%        1.283s     987.278us           0 b           0 b       5.12 Gb           0 b          1300            --  
               aten::_convolution         5.87%      63.927ms        54.22%     590.854ms     454.503us      14.284ms         0.82%        1.273s     979.612us           0 b           0 b       5.12 Gb           0 b          1300            --  
          aten::cudnn_convolution        37.40%     407.592ms        40.37%     439.854ms     338.349us        1.182s        68.25%        1.191s     916.277us           0 b           0 b       5.12 Gb      -7.34 Gb          1300            --  
                    aten::resize_         1.48%      16.091ms         1.48%      16.091ms       6.000us       6.083ms         0.35%       6.083ms       2.268us           0 b           0 b       9.57 Mb       9.57 Mb          2682            --  
                      aten::empty         6.64%      72.409ms         6.64%      72.409ms      11.063us      16.742ms         0.97%      16.742ms       2.558us           0 b           0 b      17.49 Gb      17.49 Gb          6545            --  
                    aten::reshape         1.84%      20.070ms         3.87%      42.222ms      32.478us       6.167ms         0.36%       9.025ms       6.942us           0 b           0 b           0 b           0 b          1300            --  
             aten::_reshape_alias         2.28%      24.867ms         2.28%      24.867ms      17.929us       3.077ms         0.18%       3.077ms       2.218us           0 b           0 b           0 b           0 b          1387            --  
                       aten::add_         4.12%      44.851ms         4.12%      44.851ms      34.501us      59.027ms         3.41%      59.027ms      45.405us           0 b           0 b           0 b           0 b          1300            --  
                 aten::batch_norm         2.06%      22.407ms        22.98%     250.380ms     192.600us       8.559ms         0.49%     134.256ms     103.274us           0 b           0 b       5.14 Gb           0 b          1300            --  
     aten::_batch_norm_impl_index         2.25%      24.498ms        20.92%     227.973ms     175.364us       6.362ms         0.37%     125.697ms      96.690us           0 b           0 b       5.14 Gb           0 b          1300            --  
           aten::cudnn_batch_norm         9.82%     107.039ms        18.67%     203.475ms     156.519us      94.012ms         5.43%     119.335ms      91.796us           0 b           0 b       5.14 Gb           0 b          1300            --  
                 aten::empty_like         2.68%      29.155ms         5.61%      61.115ms      47.012us       6.190ms         0.36%       9.072ms       6.978us           0 b           0 b       5.14 Gb           0 b          1300            --  
                       aten::view         1.18%      12.830ms         1.18%      12.830ms       9.946us       5.596ms         0.32%       5.596ms       4.338us           0 b           0 b           0 b           0 b          1290            --  
                      aten::relu_         2.94%      32.032ms         7.01%      76.363ms      50.909us       7.540ms         0.44%      66.524ms      44.349us           0 b           0 b           0 b           0 b          1500            --  
                 aten::clamp_min_         1.55%      16.881ms         4.07%      44.331ms      29.554us       7.340ms         0.42%      58.984ms      39.323us           0 b           0 b           0 b           0 b          1500            --  
                  aten::clamp_min         2.52%      27.450ms         2.52%      27.450ms      18.300us      51.644ms         2.98%      51.644ms      34.429us           0 b           0 b           0 b           0 b          1500            --  
                 aten::max_pool2d         0.93%      10.121ms         3.28%      35.755ms      71.510us       2.347ms         0.14%      22.114ms      44.228us           0 b           0 b       1.73 Gb           0 b           500            --  
    aten::max_pool2d_with_indices         2.35%      25.634ms         2.35%      25.634ms      51.268us      19.767ms         1.14%      19.767ms      39.534us           0 b           0 b       1.73 Gb       1.73 Gb           500            --  
        aten::adaptive_avg_pool2d         0.16%       1.724ms         0.70%       7.661ms      76.610us     526.000us         0.03%       4.364ms      43.640us           0 b           0 b       9.57 Mb           0 b           100            --  
